x_value,State.INFECTIOUS,State.RECOVERED,State.SUSCEPTIBLE
1195,17,61,22
1196,17,61,22
1197,17,61,22
1198,17,61,22
1199,17,61,22
1200,17,61,22
1201,17,61,22
1202,17,61,22
1203,16,62,22
1204,16,62,22
1205,16,62,22
1206,16,62,22
1207,16,62,22
1208,16,62,22
1209,16,62,22
1210,16,62,22
1211,16,62,22
1212,16,62,22
1213,16,62,22
1214,16,62,22
1215,16,62,22
1216,16,62,22
1217,17,62,21
1218,17,62,21
1219,17,62,21
1220,17,62,21
1221,17,62,21
1222,17,62,21
1223,17,62,21
1224,17,62,21
1225,17,62,21
1226,17,62,21
1227,17,62,21
1228,17,62,21
1229,17,62,21
1230,17,62,21
1231,18,62,20
1232,18,62,20
1233,18,62,20
1234,18,62,20
1235,18,62,20
1236,18,62,20
1237,18,62,20
1238,18,62,20
1239,18,62,20
1240,18,62,20
1241,18,62,20
1242,18,62,20
1243,18,62,20
1244,18,62,20
1245,18,62,20
1246,18,62,20
1247,18,62,20
1248,18,62,20
1249,18,62,20
1250,18,62,20
1251,18,62,20
1252,18,62,20
1253,18,62,20
1254,18,62,20
1255,18,62,20
1256,18,62,20
1257,18,62,20
1258,18,62,20
1259,18,62,20
1260,18,62,20
1261,18,62,20
1262,18,62,20
1263,18,62,20
1264,18,62,20
1265,18,62,20
1266,18,62,20
1267,18,62,20
1268,18,62,20
1269,18,62,20
1270,18,62,20
1271,18,62,20
1272,18,62,20
1273,18,62,20
1274,18,62,20
1275,18,62,20
1276,18,62,20
1277,18,62,20
1278,18,62,20
1279,18,62,20
1280,18,62,20
1281,18,62,20
1282,18,62,20
1283,18,62,20
1284,18,62,20
1285,18,62,20
1286,18,62,20
1287,18,62,20
1288,18,62,20
1289,18,62,20
1290,18,62,20
1291,18,62,20
1292,18,62,20
1293,18,62,20
1294,18,62,20
1295,18,62,20
1296,18,62,20
1297,17,63,20
1298,17,63,20
1299,17,63,20
1300,17,63,20
1301,17,63,20
1302,17,63,20
1303,17,63,20
1304,16,64,20
1305,16,64,20
1306,16,64,20
1307,16,64,20
1308,16,64,20
1309,16,64,20
1310,16,64,20
1311,16,64,20
1312,16,64,20
1313,16,64,20
1314,16,64,20
1315,16,64,20
1316,16,64,20
1317,16,64,20
1318,16,64,20
1319,16,64,20
1320,16,64,20
1321,16,64,20
1322,16,64,20
1323,16,64,20
1324,16,64,20
1325,16,64,20
1326,16,64,20
1327,16,64,20
1328,16,64,20
1329,16,64,20
1330,16,64,20
1331,16,64,20
1332,16,64,20
1333,16,64,20
1334,16,64,20
1335,16,64,20
1336,16,64,20
1337,16,64,20
1338,16,64,20
1339,16,64,20
1340,16,64,20
1341,16,64,20
1342,16,64,20
1343,16,64,20
1344,16,64,20
1345,16,64,20
1346,16,64,20
1347,16,64,20
1348,16,64,20
1349,16,64,20
1350,16,64,20
1351,16,64,20
1352,16,64,20
1353,16,64,20
1354,16,64,20
1355,16,64,20
1356,16,64,20
1357,16,64,20
1358,16,64,20
1359,16,64,20
1360,16,64,20
1361,16,64,20
1362,16,64,20
1363,16,64,20
1364,16,64,20
1365,16,64,20
1366,16,64,20
1367,16,64,20
1368,16,64,20
1369,16,64,20
1370,16,64,20
1371,16,64,20
1372,16,64,20
1373,16,64,20
1374,16,64,20
1375,16,64,20
1376,16,64,20
1377,16,64,20
1378,16,64,20
1379,15,65,20
1380,15,65,20
1381,15,65,20
1382,15,65,20
1383,15,65,20
1384,15,65,20
1385,15,65,20
1386,15,65,20
1387,14,66,20
1388,14,66,20
1389,14,66,20
1390,14,66,20
1391,14,66,20
1392,14,66,20
1393,14,66,20
1394,14,66,20
1395,14,66,20
1396,14,66,20
1397,14,66,20
1398,14,66,20
1399,14,66,20
1400,14,66,20
1401,14,66,20
1402,14,66,20
1403,14,66,20
1404,14,66,20
1405,15,66,19
1406,15,66,19
1407,15,66,19
1408,15,66,19
1409,15,66,19
1410,16,66,18
1411,16,66,18
1412,16,66,18
1413,16,66,18
1414,16,66,18
1415,16,66,18
1416,16,66,18
1417,16,66,18
1418,16,66,18
1419,17,66,17
1420,17,66,17
1421,17,66,17
1422,17,66,17
1423,17,66,17
1424,17,66,17
1425,17,66,17
1426,17,66,17
1427,17,66,17
1428,17,66,17
1429,17,66,17
1430,17,66,17
1431,17,66,17
1432,17,66,17
1433,17,66,17
1434,17,66,17
1435,17,66,17
1436,17,66,17
1437,17,66,17
1438,17,66,17
1439,17,66,17
1440,17,66,17
1441,17,66,17
1442,17,66,17
1443,17,66,17
1444,17,66,17
1445,17,66,17
1446,17,66,17
1447,17,66,17
1448,17,66,17
1449,17,66,17
1450,17,66,17
1451,17,66,17
1452,17,66,17
1453,17,66,17
1454,17,66,17
1455,17,66,17
1456,17,66,17
1457,17,66,17
1458,17,66,17
1459,17,66,17
1460,17,66,17
1461,17,66,17
1462,17,66,17
1463,17,66,17
1464,17,66,17
1465,16,67,17
1466,16,67,17
1467,16,67,17
1468,16,67,17
1469,16,67,17
1470,16,67,17
1471,16,67,17
1472,16,67,17
1473,16,67,17
1474,16,67,17
1475,16,67,17
1476,16,67,17
1477,16,67,17
1478,16,67,17
1479,16,67,17
1480,16,67,17
1481,16,67,17
1482,16,67,17
1483,16,67,17
1484,16,67,17
1485,16,67,17
1486,16,67,17
1487,16,67,17
1488,16,67,17
1489,16,67,17
1490,16,67,17
1491,16,67,17
1492,16,67,17
1493,16,67,17
1494,16,67,17
1495,16,67,17
1496,16,67,17
1497,16,67,17
1498,16,67,17
1499,16,67,17
1500,16,67,17
1501,16,67,17
1502,16,67,17
1503,16,67,17
1504,16,67,17
1505,16,67,17
1506,17,67,16
1507,17,67,16
1508,17,67,16
1509,17,67,16
1510,17,67,16
1511,17,67,16
1512,17,67,16
1513,17,67,16
1514,17,67,16
1515,17,67,16
1516,17,67,16
1517,17,67,16
1518,17,67,16
1519,17,67,16
1520,17,67,16
1521,17,67,16
1522,17,67,16
1523,17,67,16
1524,17,67,16
1525,17,67,16
1526,17,67,16
1527,17,67,16
1528,17,67,16
1529,17,67,16
1530,17,67,16
1531,17,67,16
1532,17,67,16
1533,17,67,16
1534,17,67,16
1535,17,67,16
1536,17,67,16
1537,17,67,16
1538,17,67,16
1539,17,67,16
1540,17,67,16
1541,17,67,16
1542,17,67,16
1543,17,67,16
1544,17,67,16
1545,17,67,16
1546,17,67,16
1547,18,67,15
1548,18,67,15
1549,18,67,15
1550,18,67,15
1551,18,67,15
1552,18,67,15
1553,18,67,15
1554,18,67,15
1555,18,67,15
1556,18,67,15
1557,18,67,15
1558,18,67,15
1559,18,67,15
1560,18,67,15
1561,18,67,15
1562,18,67,15
1563,17,68,15
1564,17,68,15
1565,17,68,15
1566,17,68,15
1567,17,68,15
1568,17,68,15
1569,17,68,15
1570,17,68,15
1571,17,68,15
1572,17,68,15
1573,17,68,15
1574,17,68,15
1575,17,68,15
1576,17,68,15
1577,17,68,15
1578,17,68,15
1579,17,68,15
1580,17,68,15
1581,17,68,15
1582,17,68,15
1583,17,68,15
1584,17,68,15
1585,17,68,15
1586,17,68,15
1587,17,68,15
1588,17,68,15
1589,17,68,15
1590,17,68,15
1591,17,68,15
1592,18,68,14
1593,18,68,14
1594,18,68,14
1595,18,68,14
1596,18,68,14
1597,18,68,14
1598,18,68,14
1599,17,69,14
1600,17,69,14
1601,17,69,14
1602,17,69,14
1603,17,69,14
1604,17,69,14
1605,17,69,14
1606,17,69,14
1607,17,69,14
1608,17,69,14
1609,17,69,14
1610,17,69,14
1611,17,69,14
1612,17,69,14
1613,17,69,14
1614,17,69,14
1615,18,69,13
1616,18,69,13
1617,18,69,13
1618,18,69,13
1619,18,69,13
1620,18,69,13
1621,18,69,13
1622,18,69,13
1623,18,69,13
1624,18,69,13
1625,18,69,13
1626,18,69,13
1627,18,69,13
1628,18,69,13
1629,18,69,13
1630,18,69,13
1631,18,69,13
1632,18,69,13
1633,18,69,13
1634,18,69,13
1635,18,69,13
1636,18,69,13
1637,18,69,13
1638,18,69,13
1639,17,70,13
1640,17,70,13
1641,17,70,13
1642,17,70,13
1643,17,70,13
1644,17,70,13
1645,17,70,13
1646,17,70,13
1647,18,70,12
1648,18,70,12
